1.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e-01,3.231281807030279563e-01,1.000000000000000000e+02,1.137673162851878715e+03,2.642414070598457787e+00,4.049327514206222389e+00,1.841462879450643131e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,2.798300164160330561e-01,1.000000000000000000e+02,1.472167876314004388e+03,2.644665228779666144e+00,4.045880697322633779e+00,1.676632259868364727e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.500000000000000000e+00,2.294981867419896016e-01,1.000000000000000000e+02,2.500779343462421366e+03,2.644622500285737310e+00,4.045946065589293816e+00,1.724363143867389203e+00
1.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+00,2.135251200500290492e-01,1.000000000000000000e+02,3.157161230904448075e+03,2.642566624106839956e+00,4.049093749383324337e+00,1.836254887058811791e+00
1.000000000000000000e+00,1.000000000000000000e+02,2.500000000000000000e+00,2.153033499220644853e-01,1.000000000000000000e+02,3.337347516456451558e+03,2.641424366953370573e+00,4.050844738871483663e+00,1.872196763290840060e+00
1.000000000000000000e+00,1.000000000000000000e+02,3.000000000000000000e+00,2.210070266817168727e-01,1.000000000000000000e+02,3.360196421178596665e+03,2.641127971407412289e+00,4.051299337191204053e+00,1.880606177241497701e+00
1.000000000000000000e+00,1.000000000000000000e+02,3.500000000000000000e+00,2.269183723368659589e-01,1.000000000000000000e+02,3.339909334376055540e+03,2.641020523194669067e+00,4.051464161685844445e+00,1.883582795017463951e+00
1.000000000000000000e+00,1.000000000000000000e+02,4.000000000000000000e+00,2.324770051756915312e-01,1.000000000000000000e+02,3.304658309284677671e+03,2.640978295394155850e+00,4.051528942384990728e+00,1.884742792503812048e+00
1.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e-01,3.877538168436334143e-01,1.200000000000000000e+02,1.137673162851878715e+03,2.894619585471647660e+00,3.696513370428448741e+00,1.841462879450643131e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,3.357960196992396673e-01,1.200000000000000000e+02,1.472167876314004388e+03,2.897085605704368128e+00,3.693366871497229642e+00,1.676632259868364727e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.500000000000000000e+00,2.753978240903875441e-01,1.200000000000000000e+02,2.500779343462421366e+03,2.897038798984421959e+00,3.693426544287553792e+00,1.724363143867389203e+00
1.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+00,2.562301440600348590e-01,1.200000000000000000e+02,3.157161230904448075e+03,2.894786699467182700e+00,3.696299973317361154e+00,1.836254887058811791e+00
1.000000000000000000e+00,1.000000000000000000e+02,2.500000000000000000e+00,2.583640199064774490e-01,1.200000000000000000e+02,3.337347516456451558e+03,2.893535419448329371e+00,3.697898400718392153e+00,1.872196763290840060e+00
1.000000000000000000e+00,1.000000000000000000e+02,3.000000000000000000e+00,2.652084320180602695e-01,1.200000000000000000e+02,3.360196421178596665e+03,2.893210734395398553e+00,3.698313390308917370e+00,1.880606177241497701e+00
1.000000000000000000e+00,1.000000000000000000e+02,3.500000000000000000e+00,2.723020468042391951e-01,1.200000000000000000e+02,3.339909334376055540e+03,2.893093030775632180e+00,3.698463853798490408e+00,1.883582795017463951e+00
1.000000000000000000e+00,1.000000000000000000e+02,4.000000000000000000e+00,2.789724062108298597e-01,1.200000000000000000e+02,3.304658309284677671e+03,2.893046772537842148e+00,3.698522990215513229e+00,1.884742792503812048e+00
1.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e-01,4.523794529842389833e-01,1.400000000000000000e+02,1.137673162851878715e+03,3.126546492329099092e+00,3.422306377420637258e+00,1.841462879450643131e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,3.917620229824462785e-01,1.400000000000000000e+02,1.472167876314004388e+03,3.129210098609981117e+00,3.419393285466201249e+00,1.676632259868364727e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.500000000000000000e+00,3.212974614387854588e-01,1.400000000000000000e+02,2.500779343462421366e+03,3.129159541574161985e+00,3.419448531734893049e+00,1.724363143867389203e+00
1.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+00,2.989351680700406688e-01,1.400000000000000000e+02,3.157161230904448075e+03,3.126726996074455922e+00,3.422108810085958464e+00,1.836254887058811791e+00
1.000000000000000000e+00,1.000000000000000000e+02,2.500000000000000000e+00,3.014246898908902739e-01,1.400000000000000000e+02,3.337347516456451558e+03,3.125375459183907800e+00,3.423588666301860428e+00,1.872196763290840060e+00
1.000000000000000000e+00,1.000000000000000000e+02,3.000000000000000000e+00,3.094098373544036384e-01,1.400000000000000000e+02,3.360196421178596665e+03,3.125024759244458661e+00,3.423972872005965229e+00,1.880606177241497701e+00
1.000000000000000000e+00,1.000000000000000000e+02,3.500000000000000000e+00,3.176857212716123202e-01,1.400000000000000000e+02,3.339909334376055540e+03,3.124897624804630514e+00,3.424112174128893571e+00,1.883582795017463951e+00
1.000000000000000000e+00,1.000000000000000000e+02,4.000000000000000000e+00,3.254678072459681326e-01,1.400000000000000000e+02,3.304658309284677671e+03,3.124847660197250132e+00,3.424166923812401730e+00,1.884742792503812048e+00
1.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e-01,5.170050891248445524e-01,1.600000000000000000e+02,1.137673162851878715e+03,3.342418793747238048e+00,3.201274484219872818e+00,1.841462879450643131e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,4.477280262656528342e-01,1.600000000000000000e+02,1.472167876314004388e+03,3.345266308637613761e+00,3.198549536212457411e+00,1.676632259868364727e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.500000000000000000e+00,3.671970987871834291e-01,1.600000000000000000e+02,2.500779343462421366e+03,3.345212260892892253e+00,3.198601214364792611e+00,1.724363143867389203e+00
1.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+00,3.416401920800464787e-01,1.600000000000000000e+02,3.157161230904448075e+03,3.342611760367852014e+00,3.201089676900577885e+00,1.836254887058811791e+00
1.000000000000000000e+00,1.000000000000000000e+02,2.500000000000000000e+00,3.444853598753032653e-01,1.600000000000000000e+02,3.337347516456451558e+03,3.341166906656419133e+00,3.202473955635975589e+00,1.872196763290840060e+00
1.000000000000000000e+00,1.000000000000000000e+02,3.000000000000000000e+00,3.536112426907470074e-01,1.600000000000000000e+02,3.360196421178596665e+03,3.340791992650995912e+00,3.202833347163676958e+00,1.880606177241497701e+00
1.000000000000000000e+00,1.000000000000000000e+02,3.500000000000000000e+00,3.630693957389855564e-01,1.600000000000000000e+02,3.339909334376055540e+03,3.340656080217883073e+00,3.202963652367988523e+00,1.883582795017463951e+00
1.000000000000000000e+00,1.000000000000000000e+02,4.000000000000000000e+00,3.719632082811065166e-01,1.600000000000000000e+02,3.304658309284677671e+03,3.340602665805802118e+00,3.203014866007419581e+00,1.884742792503812048e+00
1.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e-01,5.816307252654502324e-01,1.800000000000000000e+02,1.137673162851878715e+03,3.545170491936048496e+00,3.018190528308452691e+00,1.841462879450643131e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+00,5.036940295488594455e-01,1.800000000000000000e+02,1.472167876314004388e+03,3.548190737568819753e+00,3.015621422689220843e+00,1.676632259868364727e+00
1.000000000000000000e+00,1.000000000000000000e+02,1.500000000000000000e+00,4.130967361355813439e-01,1.800000000000000000e+02,2.500779343462421366e+03,3.548133411278620031e+00,3.015670145318493756e+00,1.724363143867389203e+00
1.000000000000000000e+00,1.000000000000000000e+02,2.000000000000000000e+00,3.843452160900522885e-01,1.800000000000000000e+02,3.157161230904448075e+03,3.545375163945017061e+00,3.018016290296870352e+00,1.836254887058811791e+00
1.000000000000000000e+00,1.000000000000000000e+02,2.500000000000000000e+00,3.875460298597160902e-01,1.800000000000000000e+02,3.337347516456451558e+03,3.543842665159250949e+00,3.019321400804674038e+00,1.872196763290840060e+00
1.000000000000000000e+00,1.000000000000000000e+02,3.000000000000000000e+00,3.978126480270903209e-01,1.800000000000000000e+02,3.360196421178596665e+03,3.543445008805856666e+00,3.019660238386458584e+00,1.880606177241497701e+00
1.000000000000000000e+00,1.000000000000000000e+02,3.500000000000000000e+00,4.084530702063587371e-01,1.800000000000000000e+02,3.339909334376055540e+03,3.543300851901203696e+00,3.019783091311249112e+00,1.883582795017463951e+00
1.000000000000000000e+00,1.000000000000000000e+02,4.000000000000000000e+00,4.184586093162447895e-01,1.800000000000000000e+02,3.304658309284677671e+03,3.543244197361711478e+00,3.019831375993555778e+00,1.884742792503812048e+00
1.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000000e-01,6.462563614060559125e-01,2.000000000000000000e+02,1.137673162851878715e+03,3.736937816045836414e+00,2.863306944540485510e+00,1.841462879450643131e+00
