0.060,80,#0 - 80
0.073,72,#1 - 72
0.086,64,#2 - 64
0.099,56,#3 - 56
0.112,48,#4 - 48
0.125,44,#5 - 44
0.138,40,#6 - 40
0.164,36,#8 - 36
0.190,32,#10 - 32
0.216,28,#12 - 28
0.250,28,1/4" - 28
0.313,24,5/16" - 24
0.375,24,3/8" - 24
0.438,20,7/16" - 20
0.500,20,1/2" - 20
0.563,18,9/16" - 18
0.625,18,5/8" - 18
0.750,16,3/4" - 16
0.875,14,7/8" - 14
1.000,12,1" - 12
1.125,12,1 1/8" - 12
1.250,12,1 1/4" - 12
1.375,12,1 3/8" - 12
1.500,12,1 1/2" - 12
