0.000357,0.0,0.000000
-0.000995,0.0,0.001938
-0.002214,0.0,0.003094
-0.003319,0.0,0.004076
-0.004330,0.0,0.004961
-0.005259,0.0,0.005783
-0.006116,0.0,0.006559
-0.006912,0.0,0.007299
-0.007654,0.0,0.008011
-0.008348,0.0,0.008701
-0.008999,0.0,0.009371
-0.009612,0.0,0.010024
-0.010191,0.0,0.010664
-0.010739,0.0,0.011292
-0.011258,0.0,0.011909
-0.011752,0.0,0.012517
-0.012223,0.0,0.013118
-0.012672,0.0,0.013711
-0.013101,0.0,0.014298
-0.013513,0.0,0.014880
-0.013907,0.0,0.015458
-0.014286,0.0,0.016031
-0.014650,0.0,0.016601
-0.015001,0.0,0.017168
-0.015340,0.0,0.017733
-0.015666,0.0,0.018296
-0.015982,0.0,0.018858
-0.016287,0.0,0.019419
-0.016583,0.0,0.019979
-0.016869,0.0,0.020539
-0.017147,0.0,0.021100
-0.017417,0.0,0.021660
-0.017679,0.0,0.022220
-0.017934,0.0,0.022781
-0.018181,0.0,0.023341
-0.018423,0.0,0.023901
-0.018658,0.0,0.024461
-0.018887,0.0,0.025022
-0.019110,0.0,0.025582
-0.019328,0.0,0.026142
-0.019541,0.0,0.026702
-0.019750,0.0,0.027263
-0.019953,0.0,0.027823
-0.020152,0.0,0.028383
-0.020347,0.0,0.028943
-0.020537,0.0,0.029504
-0.020724,0.0,0.030064
-0.020906,0.0,0.030624
-0.021086,0.0,0.031184
-0.021261,0.0,0.031745
-0.021433,0.0,0.032305
-0.021603,0.0,0.032865
-0.021768,0.0,0.033425
-0.021931,0.0,0.033986
-0.022091,0.0,0.034546
-0.022249,0.0,0.035106
-0.022403,0.0,0.035666
-0.022555,0.0,0.036227
-0.022705,0.0,0.036787
-0.022852,0.0,0.037347
-0.022996,0.0,0.037907
-0.023139,0.0,0.038468
-0.023279,0.0,0.039028
-0.023417,0.0,0.039588
-0.023553,0.0,0.040149
-0.023687,0.0,0.040709
-0.023819,0.0,0.041269
-0.023949,0.0,0.041829
-0.024077,0.0,0.042390
-0.024203,0.0,0.042950
-0.024328,0.0,0.043510
-0.024451,0.0,0.044070
-0.024573,0.0,0.044631
-0.024692,0.0,0.045191
-0.024811,0.0,0.045752
-0.024927,0.0,0.046313
-0.025043,0.0,0.046876
-0.025157,0.0,0.047441
-0.025269,0.0,0.048009
-0.025380,0.0,0.048579
-0.025490,0.0,0.049152
-0.025598,0.0,0.049729
-0.025706,0.0,0.050311
-0.025812,0.0,0.050899
-0.025916,0.0,0.051492
-0.026020,0.0,0.052092
-0.026123,0.0,0.052701
-0.026224,0.0,0.053318
-0.026324,0.0,0.053946
-0.026423,0.0,0.054586
-0.026522,0.0,0.055239
-0.026619,0.0,0.055909
-0.026715,0.0,0.056598
-0.026810,0.0,0.057311
-0.026904,0.0,0.058051
-0.026998,0.0,0.058827
-0.027090,0.0,0.059648
-0.027182,0.0,0.060534
-0.027272,0.0,0.061515
-0.027362,0.0,0.062672
