Timestamp,PT-TI-01 Pressure,PT-O2-05 Pressure,PT-N2-04 Pressure,PT-H2-03 Pressure,SN-H2-01 State,SN-O2-01 State,SN-N2-01 State,Spark Plug State
2025-05-09 19:41:13,-0.3880333377048366,-0.1951997533440597,119.0370864868164,-0.172464910149575,False,True,False,False
2025-05-09 19:41:13,-0.4605611427500831,-0.24251503795385432,116.67131108045578,-0.361727166175843,False,True,False,False
2025-05-09 19:41:13,-0.6297919264808289,-0.3726323500275619,113.59581199288368,-0.20795165300369334,False,True,False,False
2025-05-09 19:41:13,-0.5814398661069573,-0.40811909288167936,118.32735162973404,-0.2670954793691642,False,True,False,False
2025-05-09 19:41:13,-0.5330883767642076,0.44355826526880193,134.0597368478775,-0.01869051456451487,False,True,False,False
2025-05-09 19:41:13,0.27680163936689617,206.93992419242855,2124.146575450897,-0.05417613983154368,False,True,False,False
2025-05-09 19:41:13,3.564712622202933,317.39777965545653,3133.857900619507,0.016796228289603476,False,True,False,False
2025-05-09 19:41:13,5.402074927538635,326.29309339523314,3344.529683113098,0.21788702607154775,False,True,False,False
2025-05-09 19:41:13,5.933942452371122,333.47318811416625,3440.1071615219116,0.501779851317405,False,True,False,False
2025-05-09 19:41:13,6.357019411697985,339.51774282455443,3512.262875556946,0.7383562743663781,False,True,False,False
2025-05-09 19:41:13,6.635041902996601,345.3730408668518,3564.546639442444,1.1050511270761483,False,True,False,False
2025-05-09 19:41:13,6.888888078592718,349.134606552124,3617.066795349121,1.3179704666137688,False,True,False,False
2025-05-09 19:41:13,7.021854959800841,353.36934967041014,3652.789885520935,1.7083235204219829,False,True,False,False
2025-05-09 19:41:13,7.565811213515701,355.1673237800598,3670.0600929260254,1.9212428599596016,False,True,False,False
2025-05-09 19:41:13,7.553722484633328,357.15459032058715,3688.631350517273,2.0868469148874276,False,True,False,False
2025-05-09 19:41:13,7.45701950594783,359.48485774993895,3714.181715965271,2.358910080790521,False,True,False,False
2025-05-09 19:41:13,7.686689365841451,361.3301460266113,3726.010615348816,2.6428029060363745,False,True,False,False
2025-05-09 19:41:13,7.505370995290578,362.99801511764525,3742.2161645889278,2.8557222455739986,False,True,False,False
2025-05-09 19:41:13,7.589986387155951,363.22278423309325,3751.0878391265874,3.1514436125755303,False,True,False,False
2025-05-09 19:41:13,7.807568660229444,363.11631841659545,3768.5944385528564,3.1632721543312066,False,True,False,False
2025-05-09 19:41:13,7.674601779021325,363.37656421661376,3755.819255828858,3.5299670070409768,False,True,False,False
2025-05-09 19:41:13,7.698778094723821,364.42931337356566,3761.0238142013545,3.6600843191146843,False,True,False,False
2025-05-09 19:41:13,7.79548107340932,364.8788158416748,3785.746271133423,3.802031290531156,False,True,False,False
2025-05-09 19:41:13,7.843832562752068,365.6949941635132,3780.8964796066284,4.121409741044042,False,True,False,False
2025-05-09 19:41:13,7.952624270319937,366.3455907821655,3782.4342794418335,4.251527053117753,False,True,False,False
2025-05-09 19:41:13,7.868008878454564,366.4757315635681,3791.0692043304443,4.369815823435781,False,True,False,False
2025-05-09 19:41:13,7.807568660229444,366.1800090789795,3781.3696212768555,4.630050447583198,False,True,False,False
2025-05-09 19:41:13,8.061414835825564,366.2391249656677,3778.530771255493,4.665537190437318,False,True,False,False
2025-05-09 19:41:13,7.988887030780317,366.73594160079955,3787.993604660034,4.80748416185379,False,True,False,False
2025-05-09 19:41:13,7.843832562752068,366.8187682151795,3781.48799610138,4.96125855743885,False,True,False,False
2025-05-09 19:41:13,7.735040855184197,366.59399909973143,3785.1547546386714,5.032232043147085,False,True,False,False
2025-05-09 19:41:13,7.81965624704957,366.58216161727904,3787.165696144104,5.256979924440383,False,True,False,False
2025-05-09 19:41:13,7.892184052094818,367.06714076995854,3792.8433961868286,5.339781951904296,False,True,False,False
2025-05-09 19:41:13,7.988887030780317,366.9488732337951,3791.423971176147,5.422583979368209,False,True,False,False
2025-05-09 19:41:13,7.952624270319937,366.80693073272704,3794.1448040008545,5.611846235394475,False,True,False,False
2025-05-09 19:41:13,8.303173424601555,366.92519826889037,3790.241295814514,5.6591615200042735,False,True,False,False
2025-05-09 19:41:13,8.254821935258807,367.0789782524109,3791.423971176147,5.753792089223861,False,True,False,False
2025-05-09 19:41:13,8.073502422645687,367.055339050293,3790.0045461654663,5.765620630979537,False,True,False,False
2025-05-09 19:41:13,7.988887030780317,366.80693073272704,3784.3268461227412,5.836594116687774,False,True,False,False
2025-05-09 19:41:13,8.00097575966269,366.747779083252,3790.241295814514,5.943054345250129,False,True,False,False
2025-05-09 19:41:13,7.843832562752068,366.64131326675414,3794.6179456710815,5.836594116687774,False,True,False,False
2025-05-09 19:41:13,7.928447954617441,366.7241041183471,3793.0801458358765,5.990369629859924,False,True,False,False
2025-05-09 19:41:13,8.170206543393434,366.9015590667725,3797.811562538147,6.0495134562253945,False,True,False,False
2025-05-09 19:41:13,8.061414835825564,366.7950932502746,3787.165696144104,6.167802226543426,False,True,False,False
2025-05-09 19:41:13,8.08559115152806,366.68862743377684,3786.810929298401,6.1323154836893075,False,True,False,False
2025-05-09 19:41:13,8.061414835825564,366.78325576782225,3782.0791549682613,6.108658400177955,False,True,False,False
2025-05-09 19:41:13,8.061414835825564,366.67678995132445,3783.7353296279907,6.061341997981071,False,True,False,False
2025-05-09 19:41:13,8.013063346482815,366.416579914093,3787.165696144104,6.167802226543426,False,True,False,False
2025-05-09 19:41:13,8.049327249005437,366.4638940811157,3787.5204629898067,6.203288969397544,False,True,False,False
