2,5/16,1/8 0.30 0.40 0.44
3,3/8,5/32 0.30 0.40 0.50
4,7/16,3/16 0.36 0.47 0.56
5,1/2,7/32 0.36 0.47 0.63
6,9/16,1/4 0.40 0.50 0.69
8,3/4,5/16 0.44 0.58 0.88
10,7/8,3/8 0.50 0.65 1.00
12,1 1/16,9/16 0.59 0.77 1.25
14,1 3/16,9/16 0.59 0.77 1.38
16,1 5/16,5/8 0.59 0.77 1.50
20,1 5/8,3/4 0.59 0.77 1.88
24,1 7/8,3/4 0.59 0.77 2.13
